text,expected_label
But i dont mind the long line when theres a super cutie in front of me. Too bad he`s wearing a **** bracelet with a girls name on it,negative
 glad u feel like cooking I`m so tired,negative
Really? I can only go in 1Direction at a time?! UGh!  Gotta take authority over the time 2day!  Say hello! Don`t be a stranger! BeBlessed!,negative
Didn`t make to my cousin`s yacht convention. Hope he doesn`t get upset. And hope he won.,negative
http://twitpic.com/4w5sy - my babe,positive
 I luv urs! admitting niley with a kiss (: but then they change their minds  haha & demi/sterling (: not jemi but still cute,positive
Taping at Cox then picking up starbucks for the office bc I am so nice,positive
 Oh my goodness!  How AWFUL,negative
  Just amazes the heck out of me still....this 'internet thing',positive
" I`ve lost count of the number I`ve rung today already    Were going to Wales, but I`m due in court on monday!",negative
is in mourning that he is having to miss the homesssssskooooler fair today!!!,negative
 it doesn`t work with the iPhone yet   I love it for the simplicity but I need to be able to sort tasks on my iPhone to be useful,negative
 byeeeee,positive
Spent last night in A&E (ER). Wife tangled wheels with Daughter & hit the deck. Dislocation & fracture resulted.,negative
 Thank You Clayton. Going to my favorite Greek Resturant after church for mom`s Day!!!!  Loved you on Huckabee,positive
"just got back from hangin with the bestie at the pool, soo nice",positive
can`t find her favorite Nike shorts,negative
 I left mine in music...i think i don`t have a camera anymore,negative
_Atticus Thank you,positive
Is Bored. Waiting Till 7:06 To Go Out To Tha Bus,negative
" Aw, Kaelah I feel so bad for you. This sounds serious? Please get better soon. I admire you for still working hard and stuff.",positive
" awesome, I`m glad you like it.  FYI - Platinum Notes 3.0 should be out as a free upgrade this summer",positive
Got the keys to my new flat - gorgeous weather for weekend - and i`m spending it 'PACKING',positive
 now my heart isnt cold  but im still missing you.,negative
" It`ll be worth the wait, I`m busting a gut here.",positive
  I`m not a big fan of Costa  I ended up going to EAT as they have one outside our office!,negative
hates the sound of silence..doesnt like being shut out..,negative
"humm.... I adore Mark #hoppusday ,so I`m just going to throw it out there #hoppusday....... have a nice #hoppusday people!!",positive
 Sounds like you`re in for a great day!  Enjoy,positive
" It was a lot of stress, though, so with that and supporting two big families he never quit smoking and died of lung cancer at 51.",negative
4 hours of shopping over... good effort. Best part = chocolate shop.... YUJM!!!... yum even,positive
Nice sunny day,positive
 haha yay We love you too Mr. Shane Dawson,positive
 thanx Tom  love u too !!!!!!!!!!!!!!!!!!!!!!! have a great day,positive
Sick  Right now very thankful for my chicken soup and my bed!,positive
_perfect I`m trying to self learn photoshop but it`s not going so well!,negative
 Meeeee! It sounds delicious,positive
 now cash u kno I`m not a hater.....jus upset I don`t have my update yet,negative
in a bad mood now  annoying when its sunny,negative
 seems like working.. rofl - sadly money is not growing on a tree,negative
"OK dear tweeps, goodnight! I need 2 get up early 2 say Happy Mothers Day 2 wife n mom",positive
"has applied for OSAP yet again- God, I`m gonna owe major $$$ by the end of my academic career, this just ain`t right!!",negative
Sleeping on the streets of nyc for a celebrity...nothing new. Wish i had a huge blanket though,negative
Wohoo! Going to see Eddie Izzard in December!,positive
'i hear its wonderful in california.',positive
 so i`m screwed,negative
 all good! Take a rest,positive
Watching Scrubs season 2. Oh I`m gonna miss that show,negative
baby alex i miss you  ily<3 good night</3,positive
"Hmm, no holga for me probably",negative
" Wow, congrats Rosemary",positive
In Paris till friday!!,positive
